Book,Chapter,Verse,Source (Pangasinan),Source (Cleaned),Pivot (Bikolano),Translation (Tagalog),Reference (Tagalog),Reference (Cleaned),BLEU
Isaiah,49,24,Nibatik yo kasiy asamsam na sakey a sondalo? Niagel yo kasi ray priso na sakey a maruksan too?,nibatik yo kasiy asamsam na sakey a sondalo niagel yo kasi ray priso na sakey a maruksan too,makakadulag daw kamo sa sinamsam nin sarong soldados makakadulag daw kamo sa mga bihag nin sarong madahas na tawo,makakatakas ba kayo sa mga samsam ng mandirigma makakatakas ba kayo sa mga bihag ng marahas,"Makukuha ba ang biktima mula sa makapangyarihan, o maililigtas ba ang nabiktima ng malupit?”",makukuha ba ang biktima mula sa makapangyarihan o maililigtas ba ang nabiktima ng malupit,3.4585921141027365
Philippians,4,16,"Nen wala ak lad Tesalonica, impawitan yo ak ya amimpiga na nakaukolan ko.",nen wala ak lad tesalonica impawitan yo ak ya amimpiga na nakaukolan ko,kan yaon pa ako sa tesalonica dakul na beses na ipinadara nindo sako an mga bagay na kaipuhan ko,sapagkat bagaman akoy nasa tesalonica ay muli kayong nagpadala nang makailang ulit para sa aking pangangailangan,sapagkat kahit ako'y nasa Tesalonica ay nagpapadala kayong minsan at muli para sa aking kailangan.,sapagkat kahit akoy nasa tesalonica ay nagpapadala kayong minsan at muli para sa aking kailangan,24.20762356517301
Revelation,18,17,"Diad loob na sakey oras labat, naandipat ira yan amin a kayamanan!” Manalalagey ed arawi iray kapitay barko tan saray pasahiro, saray mariniro tan saray arum a totoon diad dayat so panlalapway pambibilay da,",diad loob na sakey oras labat naandipat ira yan amin a kayamanan manalalagey ed arawi iray kapitay barko tan saray pasahiro saray mariniro tan saray arum a totoon diad dayat so panlalapway pambibilay da,sa laog sana nin sarong oras nawara an gabos na kayamanan na ini an mga kapitan nin mga barko mga pasahero mga tripulante asin an gabos na nageerok sa dagat nagtitindog sa harayo,sa loob ng isang oras ang lahat ng gayong kayamanan ay nawasak ang mga kapitan ng mga barko ang mga pasahero ang mga piloto at ang lahat ng naninirahan sa dagat ay tumayo sa malayo,"Sapagkat sa loob ng isang oras ay nalipol ang ganito kalaking kayamanan!” At ang bawat pinuno ng barko, ang bawat naglalayag saan mang dako, ang mga mandaragat, at lahat ng naghahanap-buhay sa dagat, ay nakatayo sa malayo,",sapagkat sa loob ng isang oras ay nalipol ang ganito kalaking kayamanan at ang bawat pinuno ng barko ang bawat naglalayag saan mang dako ang mga mandaragat at lahat ng naghahanapbuhay sa dagat ay nakatayo sa malayo,18.711421881660417
1 Kings,1,39,"Inala nen Sadoc so pananginan na larak na oliban inala tod Tuldan Ayamay Katawan , insan to nilanaay Solomon. Pinaknul day trumpita, tan ineyag na amin a totoo, “Andokey komun so bilay nen Ari Solomon!”",inala nen sadoc so pananginan na larak na oliban inala tod tuldan ayamay katawan  insan to nilanaay solomon pinaknul day trumpita tan ineyag na amin a totoo andokey komun so bilay nen ari solomon,kinua ni zadok an mangko nin lana na hale sa tabernakulo dangan inulaan si solomon pinatanog ninda an trompeta asin nagkurahaw an gabos na tawo mabuhay logod si solomon,kinuha ni zadok ang sisidlang langis na mula sa toldang tipanan at iniunat sa ibabaw ni solomon kanilang hinipan ang trumpeta at ang buong bayan ay sumigaw mabuhay si solomon,"Kinuha ni Zadok na pari ang sungay na sisidlan ng langis mula sa Tolda, at binuhusan ng langis si Solomon. Pagkatapos sila'y humihip ng trumpeta, at ang buong bayan ay nagsabi, “Mabuhay si Haring Solomon!”",kinuha ni zadok na pari ang sungay na sisidlan ng langis mula sa tolda at binuhusan ng langis si solomon pagkatapos silay humihip ng trumpeta at ang buong bayan ay nagsabi mabuhay si haring solomon,21.717935516863747
Ecclesiastes,9,9,"Legan a mambibilay kad sayan andi-kakanaan a bilay ya inter ed sika na Dios diad sayan mundo, manliket kan miamung ed inararom ya asawa. Manliket kan inagew-agew, ta sikato labat so nagunggonam ed amin a gunigon mo.",legan a mambibilay kad sayan andikakanaan a bilay ya inter ed sika na dios diad sayan mundo manliket kan miamung ed inararom ya asawa manliket kan inagewagew ta sikato labat so nagunggonam ed amin a gunigon mo,sa bilog mong buhay na mayong pakinabang na itinao saimo nin dios digdi sa kinaban magogma ka sa kaibahan kan agom na saimong namomotan magogma ka aroaldaw huli ta iyan an bunga kan saimong mga kahaditan,magalak ka sa asawa ng iyong kaluluwa sa lahat ng mga araw ng iyong walang kabuluhang buhay na ibinigay ng diyos sa iyo sa ilalim ng araw magalak ka sa asawa ng iyong kaluluwa at magalak ka arawaraw sapagkat itoy gawa ng iyong pagkabalisa,"Magpakasaya ka sa buhay sa piling ng iyong asawang babaing minamahal sa lahat ng mga araw ng buhay mong walang kabuluhan, na kanyang ibinigay sa iyo sa ilalim ng araw, sapagkat iyan ang iyong bahagi sa buhay, at sa iyong gawa na iyong ginagawa sa ilalim ng araw.",magpakasaya ka sa buhay sa piling ng iyong asawang babaing minamahal sa lahat ng mga araw ng buhay mong walang kabuluhan na kanyang ibinigay sa iyo sa ilalim ng araw sapagkat iyan ang iyong bahagi sa buhay at sa iyong gawa na iyong ginagawa sa ilalim ng araw,24.220061543629892
2 Samuel,13,15,"Insan kinabosul a maumaung nen Amnon; mapalalo niy impambosul to nen say impangaro to. Inkuantod sikato, “Paway ka dia!”",insan kinabosul a maumaung nen amnon mapalalo niy impambosul to nen say impangaro to inkuantod sikato paway ka dia,dangan ikinaongis siya ni amnon na mas marahay ki sa saiya orog na ikinaongis siya ki sa saiyang pagkamoot sinabihan niya si amnon lumuwas ka digdi,nang magkagayoy kinapopootan siya ni amnon na higit na mabuti kaysa kanya at higit na kinapopootan siya kaysa kanyang pagibig at sinabi ni amnon kay amnon lumabas ka rito,"Pagkatapos ay kinapootan siya nang matindi ni Amnon at ang poot na kanyang ikinapoot sa kanya ay mas matindi kaysa pag-ibig na iniukol niya sa kanya. At sinabi ni Amnon sa kanya, “Bangon, umalis ka na.”",pagkatapos ay kinapootan siya nang matindi ni amnon at ang poot na kanyang ikinapoot sa kanya ay mas matindi kaysa pagibig na iniukol niya sa kanya at sinabi ni amnon sa kanya bangon umalis ka na,10.323078799636079
John,18,29,"Pinmaway sirin si Pilato tan akiarapan ed sikara. Tinepet to, “Antoy kasalanan to yan too?”",pinmaway sirin si pilato tan akiarapan ed sikara tinepet to antoy kasalanan to yan too,kaya nagluwas sa luwas si pilato sa atubangan ninda asin naghapot ano an sumbong ninda tumang sa tawong ini,si pilato ngay lumabas sa kanila at sinabi ano ang paratangin nila laban sa taong ito,"Kaya't lumabas si Pilato at sinabi sa kanila, “Anong paratang ang dala ninyo laban sa taong ito?”",kayat lumabas si pilato at sinabi sa kanila anong paratang ang dala ninyo laban sa taong ito,22.510055225173296
Joshua,8,23,likud labat ed ari na Ai. Dinakep da tan inyakar dad kinen Josue.,likud labat ed ari na ai dinakep da tan inyakar dad kinen josue,pwera kan hade nin ai dinakop ninda siya asin dinara ki josue,ang hari ng ai lamang ang kanilang dinakip at dinala kay josue,Ngunit ang hari ng Ai ay hinuli nilang buháy at dinala kay Josue.,ngunit ang hari ng ai ay hinuli nilang buháy at dinala kay josue,39.01103647256419
1 Chronicles,8,33,"Si Ner so ama nen Cis tan si Cis so ama nen Saul. Apatiray lalakin anak nen Saul: di Jonatan, Melkisua, Abinadab, tan Esbaal.",si ner so ama nen cis tan si cis so ama nen saul apatiray lalakin anak nen saul di jonatan melkisua abinadab tan esbaal,si ner iyo an ama ni kis na ama ni saul an mga aking lalaki ni saul iyo si jonatan malkisua abinadab asin esbaal,naging anak ni ner si kish at naging anak ni kish si saul at naging anak ni saul sina jonathan malkishua abinadab at esbaal,"At naging anak ni Ner si Kish; at naging anak ni Kish si Saul; at naging anak ni Saul sina Jonathan, Malkishua, Abinadab, at Esbaal.",at naging anak ni ner si kish at naging anak ni kish si saul at naging anak ni saul sina jonathan malkishua abinadab at esbaal,95.91894571091386
Genesis,1,13,Linmabas so labi tan sinmabiy kabwasan—sikato ya so kumatlon agew.,linmabas so labi tan sinmabiy kabwasansikato ya so kumatlon agew,nagkahapon dangan nagkaaga an ikatolong aldaw,nagkaroon ng gabi at nagkaroon ng umaga nang ikatlong araw,Nagkaroon ng gabi at nagkaroon ng umaga nang ikatlong araw.,nagkaroon ng gabi at nagkaroon ng umaga nang ikatlong araw,100.00000000000004
Luke,6,35,"Aliwan ontan! Aro yo ray kalaban yo, tan manggawa kayoy kamaungan ed sikara. Mamabayes kayo ya ag yo ilaloan lan ompawil. No sikato yay tombuken yo, balbaleg so naawat yon tumang tan nibilang kayon anak na Sankatageyan a Dios. Ta maung so Dios ed saray maoges tan saray ag da amtay mamirbir na utang na linawa.",aliwan ontan aro yo ray kalaban yo tan manggawa kayoy kamaungan ed sikara mamabayes kayo ya ag yo ilaloan lan ompawil no sikato yay tombuken yo balbaleg so naawat yon tumang tan nibilang kayon anak na sankatageyan a dios ta maung so dios ed saray maoges tan saray ag da amtay mamirbir na utang na linawa,kundi kamotan nindo an saindong mga kaiwal asin giboha nindo an marahay sainda magbayad kamo na mayong paglaom na mabalik sinda kun gibohon nindo iyan magkakaigwa kamo nin dakulang balos asin aapodon kamong mga aki kan kahorohalangkaweng dios huli ta marahay an dios sa mga maraot asin sa mga dai nakakamate nin utang,kundi ibigin ninyo ang inyong mga kaaway at gawan ninyo sila ng mabuti at gantihan ninyo sila na walang pagasa na silay magbalik at dakila ang gantimpala ninyo at kayoy tatawaging mga anak ng kataastaasan sapagkat siyay mabuti sa masama at sa mga walang utang,"Subalit ibigin ninyo ang inyong mga kaaway at gumawa kayo ng mabuti, magpahiram kayo na hindi umaasa ng kapalit. Malaki ang magiging gantimpala ninyo, at kayo'y magiging mga anak ng Kataas-taasan, sapagkat siya'y mabait sa mga di-mapagpasalamat at sa masasama.",subalit ibigin ninyo ang inyong mga kaaway at gumawa kayo ng mabuti magpahiram kayo na hindi umaasa ng kapalit malaki ang magiging gantimpala ninyo at kayoy magiging mga anak ng kataastaasan sapagkat siyay mabait sa mga dimapagpasalamat at sa masasama,31.979536613686864
John,2,16,"Kuantod saray managlakoy malapati, “Ipaway yo dia ra tan! Ag yo gagawaen a tindaan so abung na Amak!”",kuantod saray managlakoy malapati ipaway yo dia ra tan ag yo gagawaen a tindaan so abung na amak,sinabihan niya an mga paratinda nin salampati halea nindo ini digdi dai nindo gibohon na sarong pasabsaban an harong kan sakong ama,at sinabi niya sa mga nagtitinda ng mga kalapati alisin ninyo rito ang mga bagay na ito huwag ninyong gawing pastulan ang bahay ng aking ama,"Sa mga nagtitinda ng mga kalapati ay sinabi niya, “Alisin ninyo rito ang mga bagay na ito; huwag ninyong gawing bahay-pamilihan ang bahay ng aking Ama.”",sa mga nagtitinda ng mga kalapati ay sinabi niya alisin ninyo rito ang mga bagay na ito huwag ninyong gawing bahaypamilihan ang bahay ng aking ama,72.62949667432854
Ephesians,1,7,"Arondon itayo la diad panamegley na dala nen Cristo tan diad ontan, apirdona la ray kasalanan tayo. Agaylay kabaleg na panangaroy Dios,",arondon itayo la diad panamegley na dala nen cristo tan diad ontan apirdona la ray kasalanan tayo agaylay kabaleg na panangaroy dios,tinubos kita ni cristo huli kan saiyang dugo huli kaini pinatawad na kita kan satong mga kasalan sosog sa kayamanan kan biyaya nin dios,sa kanyay mayroon tayong katubusan sa pamamagitan ng kanyang dugo kapatawaran ng ating mga kasalanan ayon sa kayamanan ng kanyang biyaya,"Sa kanya'y mayroon tayong katubusan sa pamamagitan ng kanyang dugo, na kapatawaran ng ating mga kasalanan, ayon sa mga kayamanan ng kanyang biyaya,",sa kanyay mayroon tayong katubusan sa pamamagitan ng kanyang dugo na kapatawaran ng ating mga kasalanan ayon sa mga kayamanan ng kanyang biyaya,75.4242235222757
John,6,50,Balet ag ompatey so siopaman a mangan ed sayan tinapay a linmeksab a nanlapud tawen.,balet ag ompatey so siopaman a mangan ed sayan tinapay a linmeksab a nanlapud tawen,alagad an magkakan kan tinapay na ini na naghilig hale sa langit dai magagadan,ito ang tinapay na bumabang galing sa langit na ang sinumang kumain ay hindi mamamatay,"Ito ang tinapay na bumababang galing sa langit, upang ang sinumang makakain nito ay hindi mamatay.",ito ang tinapay na bumababang galing sa langit upang ang sinumang makakain nito ay hindi mamatay,27.109034872702107
Genesis,13,9,"Say maung, mansiyan ita la. Pilim so labalabay mon dalin. Lakad sakey a pasen; onla ak balet ed sananey.”",say maung mansiyan ita la pilim so labalabay mon dalin lakad sakey a pasen onla ak balet ed sananey,mas marahay pang magduman kita sa lugar na saimong mawoton magduman ka sa lugar na saimong mawoton alagad maduman ako sa ibang lugar,mabuti na tayoy pumunta kung saan mo ibig pumunta ka kung saan mo ibig pumunta ako sa ibang lugar,"Di ba nasa harapan mo ang buong lupain? Humiwalay ka sa akin. Kapag kinuha mo ang nasa kaliwa, ako ay pupunta sa kanan; o kapag kinuha mo ang nasa kanan, ako ay pupunta sa kaliwa.”",di ba nasa harapan mo ang buong lupain humiwalay ka sa akin kapag kinuha mo ang nasa kaliwa ako ay pupunta sa kanan o kapag kinuha mo ang nasa kanan ako ay pupunta sa kaliwa,1.3041486198127419
1 Kings,1,41,"Nen nasusumpal lay Adonias tan saray bisita to a mansisilibra, nadngel day ingal. Nen nadngel nen Joab so trumpita, inkuanto, “Antoy kabaliksan na saman ya ingal ed siudad?”",nen nasusumpal lay adonias tan saray bisita to a mansisilibra nadngel day ingal nen nadngel nen joab so trumpita inkuanto antoy kabaliksan na saman ya ingal ed siudad,kan tapos na ni adonias asin kan saiyang mga bisita sa pagselebrar nadangog ninda an tanog kan trompeta kan madangog ini ni joab naghapot siya ano an kahulogan kan tanog sa syudad,nang marinig ni joab ang tunog ng trumpeta nang si adonias at ang lahat ng kanyang mga panauhin ay matapos na kumain at kumain sinabi ni joab ano ang kahulugan ng tunog na ito sa lunsod,"Narinig ito ni Adonias at ng lahat ng panauhing kasama niya pagkatapos nilang makakain. Nang marinig ni Joab ang tunog ng trumpeta ay kanyang sinabi, “Anong kahulugan ng pagkakaingay na ito sa lunsod?”",narinig ito ni adonias at ng lahat ng panauhing kasama niya pagkatapos nilang makakain nang marinig ni joab ang tunog ng trumpeta ay kanyang sinabi anong kahulugan ng pagkakaingay na ito sa lunsod,31.39142040010154
Matthew,13,51,"Tinepet nen Jesus ed sikara, “Natatalusan yo ra yan amin?” “On,” ebat da.",tinepet nen jesus ed sikara natatalusan yo ra yan amin on ebat da,hinapot sinda ni jesus nasasabotan nindo an gabos na ini nagsimbag sinda nasasabotan,naunawaan ba ninyo ang lahat ng mga bagay na ito sinabi nila sa kanya naunawaan namin,"Napagunawa baga ninyo ang lahat ng mga bagay na ito? Sinabi nila sa kaniya, Oo.",napagunawa baga ninyo ang lahat ng mga bagay na ito sinabi nila sa kaniya oo,65.25452579142082
Leviticus,12,1,Say Katawan inter to ray onggendan a totontonen,say katawan inter to ray onggendan a totontonen,itinao nin kagurangnan sainda an minasunod na pagsusundon,nagsalita ang panginoon sa kanila na sinasabi,"Ang Panginoon ay nagsalita kay Moises, na sinasabi,",ang panginoon ay nagsalita kay moises na sinasabi,17.026116978186877
Nehemiah,6,13,"Inupaan dan mamatakot ed siak pian onabuloy ak, et diad ontan mankasalanan ak. Naderal dad satan so kagalangan ko tan napabaingan da ak.",inupaan dan mamatakot ed siak pian onabuloy ak et diad ontan mankasalanan ak naderal dad satan so kagalangan ko tan napabaingan da ak,tinandanan ninda ako na takoton tanganing ako magkuyog tanganing magkaigwa ako nin kasalan rinaraot ninda an sakong kamurawayan asin sinopog ako,silay gumawa ng katatakutan laban sa akin upang akoy makinig upang akoy makasalanan kanilang nilapastangan ang aking kaluwalhatian at akoy nilapastangan,"Para sa layuning ito ay inupahan siya, upang ako'y matakot at kumilos sa ganitong paraan at magkasala, upang mabigyan nila ako ng isang masamang pangalan at ako'y kanilang tuyain.",para sa layuning ito ay inupahan siya upang akoy matakot at kumilos sa ganitong paraan at magkasala upang mabigyan nila ako ng isang masamang pangalan at akoy kanilang tuyain,4.17342999338849
Matthew,28,16,"Linma ra may labinsakey a disipulo ed Galilea, diad palandey ya imbilin nen Jesus a laen da.",linma ra may labinsakey a disipulo ed galilea diad palandey ya imbilin nen jesus a laen da,an onseng disipulo nagduman sa galilea sa bukid na pinagbotan sainda ni jesus,at nagsiparoon ang labingisang alagad sa galilea sa bundok na ipinagutos sa kanila ni jesus,"Datapuwa't nagsiparoon ang labingisang alagad sa Galilea, sa bundok na sa kanila'y itinuro ni Jesus.",datapuwat nagsiparoon ang labingisang alagad sa galilea sa bundok na sa kanilay itinuro ni jesus,61.000344570143625
Job,31,28,Say nepeg a dusa na sayan kasalanan et patey; paandien ton wala so Makapanyarin-amin a Dios.,say nepeg a dusa na sayan kasalanan et patey paandien ton wala so makapanyarinamin a dios,an padusa para sa kasalan na ini iyo an kagadanan huli ta minasikwal an makakamhan na dios,ang gantimpala ng kasalanan na ito ay kamatayan sapagkat sinisira ng makapangyarihan sa lahat,"ito man ay kasamaang dapat parusahan ng mga hukom, sapagkat ako sana'y naging sinungaling sa Diyos na nasa itaas.",ito man ay kasamaang dapat parusahan ng mga hukom sapagkat ako sanay naging sinungaling sa diyos na nasa itaas,3.10975601982443
Jude,1,15,"pian sintinsiaan toy amin a katoowan tan dusaen to ray makasalanan lapud maoges iran gawgawa ra, tan lapud saray maoges a sinalita ra sumpad Dios!”",pian sintinsiaan toy amin a katoowan tan dusaen to ray makasalanan lapud maoges iran gawgawa ra tan lapud saray maoges a sinalita ra sumpad dios,tanganing hukoman niya an gabos asin tanganing padusahan an mga parakasala huli kan saindang mga maraot na gibo asin huli kan saindang mga sumbong tumang sa dios,upang hatulan ang lahat at upang parusahan ang mga makasalanan dahil sa lahat ng masasamang gawa ng kanilang mga kamay at dahil sa lahat ng kasuklamsuklam na kanilang sinabi laban sa kanya,"upang igawad ang hatol sa lahat at upang sumbatan ang bawat kaluluwa sa lahat ng kanilang masamang gawa na kanilang ginawang may kalikuan, at sa lahat ng mga bagay na malupit na sinalita sa kanya ng mga hindi maka-Diyos na makasalanan.”",upang igawad ang hatol sa lahat at upang sumbatan ang bawat kaluluwa sa lahat ng kanilang masamang gawa na kanilang ginawang may kalikuan at sa lahat ng mga bagay na malupit na sinalita sa kanya ng mga hindi makadiyos na makasalanan,10.395906070681159
2 Samuel,21,7,"Balet lapud samay masanton sipanan dan dua nen Jonatan, ag to impalima si Mefiboset a lakin anak nen Jonatan tan apo nen Saul.",balet lapud samay masanton sipanan dan dua nen jonatan ag to impalima si mefiboset a lakin anak nen jonatan tan apo nen saul,alagad huli kan banal na tipan na ginibo ninda ni jonatan dai niya itinao si mefiboset na aking lalaki ni jonatan asin makoapo ni saul,ngunit si jonathan ay hindi niya ibinigay kay mefiboset na anak ni jonathan na anak ni saul dahil sa kanyang tipan sa kanya at sa kanyang banal na tipan,"Ngunit iniligtas ng hari si Mefiboset na anak ni Jonathan, na anak ni Saul, dahil sa panata ng Panginoon na namamagitan sa kanila, kina David at Jonathan na anak ni Saul.",ngunit iniligtas ng hari si mefiboset na anak ni jonathan na anak ni saul dahil sa panata ng panginoon na namamagitan sa kanila kina david at jonathan na anak ni saul,35.72898884391382
1 John,3,6,Kanyan siopamay mansiansiad Cristo ag to ituloy so mankasalanan; balet siopamay ituloy toy mankasalanan ag ton balut anengneng o akabat si Cristo.,kanyan siopamay mansiansiad cristo ag to ituloy so mankasalanan balet siopamay ituloy toy mankasalanan ag ton balut anengneng o akabat si cristo,kaya an siisay man na magdadanay ki cristo dai nagkakasala an siisay man na nagkakasala dai pa nakahiling ki cristo ni nakamidbid saiya,ang sinumang nananatili sa kanya ay hindi nananatili sa kasalanan ang sinumang nananatili sa kasalanan ay hindi nakakita sa kanya ni nakilala siya,"Ang sinumang nananatili sa kanya ay hindi nagkakasala; sinumang nagkakasala ay hindi nakakita sa kanya, ni hindi nakakilala sa kanya.",ang sinumang nananatili sa kanya ay hindi nagkakasala sinumang nagkakasala ay hindi nakakita sa kanya ni hindi nakakilala sa kanya,47.02796340820486
1 Samuel,3,21,"Intuloy na Katawan ya ipaamta so sikaton dili ed Silo, a dimay pinayawaran tan akisalitaan tod kinen Samuel. Tan no mansalitay Samuel ondengel ya amin iray Israelita.",intuloy na katawan ya ipaamta so sikaton dili ed silo a dimay pinayawaran tan akisalitaan tod kinen samuel tan no mansalitay samuel ondengel ya amin iray israelita,nagpadagos sa pagpahiling nin kagurangnan sa shilo saen siya nagpahiling asin nakiolay ki samuel mantang nagtataram si samuel nagdadangog an bilog na israel,ang panginoon ay nagpakita pa sa kanya sa shilo at nakipagusap sa kanya sa shilo sa pandinig ng buong israel samantalang siyay nagsasalita,"Nagpakitang muli ang Panginoon sa Shilo, sapagkat ipinakilala ng Panginoon ang kanyang sarili kay Samuel sa Shilo sa pamamagitan ng salita ng Panginoon .",nagpakitang muli ang panginoon sa shilo sapagkat ipinakilala ng panginoon ang kanyang sarili kay samuel sa shilo sa pamamagitan ng salita ng panginoon ,9.314939614341391
Ezekiel,27,24,"Angilako rad sika na saray mabmablin kawes, saray purpuran abel, saray binobordaan a kawes, saray alpombra a malmaltaw so kolor da, tan saray malet a lobir tan kordon.",angilako rad sika na saray mabmablin kawes saray purpuran abel saray binobordaan a kawes saray alpombra a malmaltaw so kolor da tan saray malet a lobir tan kordon,ipinabakal ninda saimo an mga mamahalon na gubing mga purpura mga gubing na binurdahan mga alpombra na kolor purpura mga lubid saka mga kordon,silay nagbibili sa iyo ng mahahalagang kasuotan mga balabal na kulayube mga balabal na pinutol mga alpombra kulayube mga lubid at mga kordero,"Ang mga ito ay nakipagkalakalan sa iyo ng mga piling pananamit, mga damit na kulay asul at may burda, at mga alpombrang may kulay na natatalian ng mga sintas at ginawang matibay. Sa mga ito'y nakipagkalakalan sila sa iyo.",ang mga ito ay nakipagkalakalan sa iyo ng mga piling pananamit mga damit na kulay asul at may burda at mga alpombrang may kulay na natatalian ng mga sintas at ginawang matibay sa mga itoy nakipagkalakalan sila sa iyo,4.681695179378612
2 Kings,1,3,"Balet ingganggan na sakey ya anghil na Katawan si Elias, say propitan taga Tisbe, ya onla ta abeten to ra may imbaki nen Ari Ahazias tan tepeten tod sikara, “Anggapo ta lay Dios na Israel, et onla kayon mangipanon ed Baalzebub a dios na Ekron?",balet ingganggan na sakey ya anghil na katawan si elias say propitan taga tisbe ya onla ta abeten to ra may imbaki nen ari ahazias tan tepeten tod sikara anggapo ta lay dios na israel et onla kayon mangipanon ed baalzebub a dios na ekron,alagad sarong anghel nin kagurangnan an nagboot ki elias an propetang taga tisbe na sabaton an mga sugo ni hadeng ahazias asin hapoton an mga ini mayo na daw nin dios sa israel kaya maduman kamo tanganing maghapot ki baalzebub an dios nin ekron,ngunit ang anghel ng panginoon ay nagsalita kay elias na tisbita bumangon ka at salubungin mo ang mga sugo ni ahazias at sabihin mo sa kanila wala bang diyos sa israel humayo ka at salubungin si baalzebub na diyos ng ekron,"Ngunit sinabi ng anghel ng Panginoon kay Elias na Tisbita, “Bumangon ka, umahon ka upang salubungin ang mga sugo ng hari ng Samaria, at sabihin mo sa kanila, ‘Dahil ba sa walang Diyos sa Israel, kaya't kayo'y nagsisihayo upang sumangguni kay Baal-zebub na diyos ng Ekron?’",ngunit sinabi ng anghel ng panginoon kay elias na tisbita bumangon ka umahon ka upang salubungin ang mga sugo ng hari ng samaria at sabihin mo sa kanila dahil ba sa walang diyos sa israel kayat kayoy nagsisihayo upang sumangguni kay baalzebub na diyos ng ekron,33.25465920568898
Psalms,72,4,"Maptek komuy panintinsiay ari ed saray mairap-bilay; tulongan to komun iray walad pankaukolan, tan taloen to ray managpairap ed sikara.",maptek komuy panintinsiay ari ed saray mairapbilay tulongan to komun iray walad pankaukolan tan taloen to ray managpairap ed sikara,hukoman logod kan hade an mga dukha sa katanosan tabangan logod niya an mga nangangaipo asin tabangan an mga nangaapi,hatulan nawa ng hari ang dukha sa katuwiran at ang dukha sa kahihiyan at ang dukha sa kapahamakan,"Kanya nawang ipagtanggol ang dukha ng bayan, magbigay ng kaligtasan sa mga nangangailangan, at ang mapang-api ay kanyang durugin!",kanya nawang ipagtanggol ang dukha ng bayan magbigay ng kaligtasan sa mga nangangailangan at ang mapangapi ay kanyang durugin,6.359341925314069
Jeremiah,52,4,"Kanyan diad kumaplon agew na kumaplon bulan na kumasiam a taon na panooley nen Sedekias ed Juda, linmad Jerusalem si Nabucodonosor tan amin da ray sondalo to, ta dinogpaan da. Nankampo ra ed paway na siudad, tan pinaliberan da na padir",kanyan diad kumaplon agew na kumaplon bulan na kumasiam a taon na panooley nen sedekias ed juda linmad jerusalem si nabucodonosor tan amin da ray sondalo to ta dinogpaan da nankampo ra ed paway na siudad tan pinaliberan da na padir,kaya kan ikasampolong aldaw kan ikasampolong bulan kan ikasiyam na taon kan paghahade ni zedekias sa juda sinalakay ni nebukadnezzar an jerusalem kaiba an bilog niyang hukbo nagkampo sinda sa luwas kan syudad asin pinalibotan nin kudal,nang ikasampung araw ng ikasampung buwan ng ikasiyam na taon ni haring zedekias si nebukadnezar na hari ng babilonia at ang lahat niyang hukbo ay dumating laban sa lunsod at nagkampo sa labas ng lunsod at kinubkob ito,"At nangyari, nang ikasiyam na taon ng kanyang paghahari, nang ikasampung buwan, nang ikasampung araw ng buwan, si Nebukadnezar na hari ng Babilonia at ang kanyang buong hukbo ay dumating laban sa Jerusalem. Kinubkob nila ito at sila'y nagtayo ng mga pangkubkob sa palibot niyon.",at nangyari nang ikasiyam na taon ng kanyang paghahari nang ikasampung buwan nang ikasampung araw ng buwan si nebukadnezar na hari ng babilonia at ang kanyang buong hukbo ay dumating laban sa jerusalem kinubkob nila ito at silay nagtayo ng mga pangkubkob sa palibot niyon,33.62706447189268
Numbers,29,32,"Diad kumapiton agew mangibagat kayo na pitoran kilaw a bakan kalakyan, duaran karniron kalakyan, tan labinapat a sakey taon a kordiron kalakyan; nepeg ya anggapoy deral na laman da.",diad kumapiton agew mangibagat kayo na pitoran kilaw a bakan kalakyan duaran karniron kalakyan tan labinapat a sakey taon a kordiron kalakyan nepeg ya anggapoy deral na laman da,sa ikapitong aldaw magdolot kamo nin pitong torilyong baka duwang lalaking karnero asin katorseng lalaking kordero na manangtaon an edad na gabos mayo nin ano man na kaninan,sa ikapitong araw ay pitong toro dalawang lalaking tupa labingapat na korderong lalaki na isang taong gulang na walang kapintasan,"Sa ikapitong araw ay pitong toro, dalawampung tupang lalaki, labing-apat na korderong lalaki na isang taong gulang at walang kapintasan,",sa ikapitong araw ay pitong toro dalawampung tupang lalaki labingapat na korderong lalaki na isang taong gulang at walang kapintasan,61.50523394042868
Ezekiel,30,11,"Onsabi so ari tan saray maruksan sondalo to a manderal ed dalin na Egipto. Dogpaan da na ispada so Egipto, et napano na bangkay so dalin.",onsabi so ari tan saray maruksan sondalo to a manderal ed dalin na egipto dogpaan da na ispada so egipto et napano na bangkay so dalin,maabot an hade asin an saiyang mariringis na hukbo tanganing raoton an daga sasalakayon ninda an egipto sa paagi kan saindang espada asin an daga mapapano nin mga bangkay,ang faraon ay darating na kasama ang kanyang mga mandirigma upang wasakin ang lupain silay lalakad na may tabak laban sa ehipto at ang lupain ay mapupuno ng mga patay,"Siya at ang kanyang bayang kasama niya, na kakilakilabot sa mga bansa, ay ipapasok upang gibain ang lupain; at kanilang bubunutin ang kanilang mga tabak laban sa Ehipto, at pupunuin ng mga patay ang lupain.",siya at ang kanyang bayang kasama niya na kakilakilabot sa mga bansa ay ipapasok upang gibain ang lupain at kanilang bubunutin ang kanilang mga tabak laban sa ehipto at pupunuin ng mga patay ang lupain,18.799111337210327
